Hospital,School,Toll Gate,Railway Crossing,Traffic Signal,Bus Stop,Latitude,Longitude,Google Maps Link
No,No,No,No,No,No,12.503649,80.150986,https://www.google.com/maps?q=12.503649,80.150986
No,No,No,No,No,No,11.05976,76.94469,https://www.google.com/maps?q=11.05976,76.94469
No,No,No,No,No,No,9.366646,78.25616,https://www.google.com/maps?q=9.366646,78.25616
No,No,No,No,No,No,10.6544485,77.00833,https://www.google.com/maps?q=10.6544485,77.00833
No,No,No,No,No,No,11.454917,77.432396,https://www.google.com/maps?q=11.454917,77.432396
No,No,No,No,No,No,11.040107,76.94911,https://www.google.com/maps?q=11.040107,76.94911
No,No,No,No,No,No,12.987301,80.25942,https://www.google.com/maps?q=12.987301,80.25942
No,No,No,No,No,No,11.033973,76.950676,https://www.google.com/maps?q=11.033973,76.950676
No,No,No,No,No,No,11.051965,76.946075,https://www.google.com/maps?q=11.051965,76.946075
No,No,No,No,No,No,11.0551815,76.945625,https://www.google.com/maps?q=11.0551815,76.945625
No,No,No,No,No,No,11.064323,76.94366,https://www.google.com/maps?q=11.064323,76.94366
No,No,No,No,No,No,11.070556,76.94241,https://www.google.com/maps?q=11.070556,76.94241
No,No,No,No,No,No,11.090007,76.93859,https://www.google.com/maps?q=11.090007,76.93859
No,No,No,No,No,No,11.364227,76.775345,https://www.google.com/maps?q=11.364227,76.775345
No,No,No,No,No,No,11.003799,77.04655,https://www.google.com/maps?q=11.003799,77.04655
No,No,No,No,No,No,13.014809,80.259346,https://www.google.com/maps?q=13.014809,80.259346
No,No,No,No,No,No,11.373647,76.90082,https://www.google.com/maps?q=11.373647,76.90082
No,No,No,No,No,No,13.008076,80.20939,https://www.google.com/maps?q=13.008076,80.20939
No,No,No,No,No,No,13.050564,80.2797,https://www.google.com/maps?q=13.050564,80.2797
No,No,No,No,No,No,13.005846,80.24246,https://www.google.com/maps?q=13.005846,80.24246
No,No,No,No,No,No,12.991277,80.095116,https://www.google.com/maps?q=12.991277,80.095116
No,No,No,No,No,No,12.975951,80.22107,https://www.google.com/maps?q=12.975951,80.22107
No,No,No,No,No,No,12.96829,80.18948,https://www.google.com/maps?q=12.96829,80.18948
No,No,No,No,No,No,12.9754925,80.183266,https://www.google.com/maps?q=12.9754925,80.183266
No,No,No,No,No,No,12.983066,80.18884,https://www.google.com/maps?q=12.983066,80.18884
No,No,No,No,No,No,12.994639,80.200195,https://www.google.com/maps?q=12.994639,80.200195
No,No,No,No,No,No,11.0242,76.97835,https://www.google.com/maps?q=11.0242,76.97835
No,No,No,No,No,No,11.028506,76.98069,https://www.google.com/maps?q=11.028506,76.98069
No,No,No,No,No,No,11.029187,76.985405,https://www.google.com/maps?q=11.029187,76.985405
No,No,No,No,No,No,11.020294,76.99251,https://www.google.com/maps?q=11.020294,76.99251
No,No,No,No,No,No,11.021921,76.99641,https://www.google.com/maps?q=11.021921,76.99641
No,No,No,No,No,No,11.642829,78.17664,https://www.google.com/maps?q=11.642829,78.17664
No,No,No,No,No,No,11.806506,77.82484,https://www.google.com/maps?q=11.806506,77.82484
No,No,No,No,No,No,11.811662,77.83581,https://www.google.com/maps?q=11.811662,77.83581
No,No,No,No,No,No,11.816408,77.84466,https://www.google.com/maps?q=11.816408,77.84466
No,No,No,No,No,No,13.008133,80.21331,https://www.google.com/maps?q=13.008133,80.21331
No,No,No,No,No,No,13.038909,80.25004,https://www.google.com/maps?q=13.038909,80.25004
No,No,No,No,No,No,13.038081,80.25593,https://www.google.com/maps?q=13.038081,80.25593
No,No,No,No,No,No,13.036222,80.25521,https://www.google.com/maps?q=13.036222,80.25521
No,No,No,No,No,No,13.0387535,80.25885,https://www.google.com/maps?q=13.0387535,80.25885
No,No,No,No,No,No,13.041494,80.24765,https://www.google.com/maps?q=13.041494,80.24765
No,No,No,No,No,No,13.037952,80.24688,https://www.google.com/maps?q=13.037952,80.24688
No,No,No,No,No,No,13.047903,80.25387,https://www.google.com/maps?q=13.047903,80.25387
No,No,No,No,No,No,13.045882,80.256645,https://www.google.com/maps?q=13.045882,80.256645
No,No,No,No,No,No,13.04647,80.26054,https://www.google.com/maps?q=13.04647,80.26054
No,No,No,No,No,No,13.035108,80.25713,https://www.google.com/maps?q=13.035108,80.25713
No,No,No,No,No,No,13.03322,80.252945,https://www.google.com/maps?q=13.03322,80.252945
No,No,No,No,No,No,13.035523,80.247444,https://www.google.com/maps?q=13.035523,80.247444
No,No,No,No,No,No,13.081757,80.27676,https://www.google.com/maps?q=13.081757,80.27676
No,No,No,No,No,No,13.081262,80.27186,https://www.google.com/maps?q=13.081262,80.27186
No,No,No,No,No,No,13.029835,80.237885,https://www.google.com/maps?q=13.029835,80.237885
No,No,No,No,No,No,13.019564,80.224655,https://www.google.com/maps?q=13.019564,80.224655
No,No,No,No,No,No,13.029223,80.254166,https://www.google.com/maps?q=13.029223,80.254166
No,No,No,No,No,No,13.029389,80.25982,https://www.google.com/maps?q=13.029389,80.25982
No,No,No,No,No,No,13.029045,80.24927,https://www.google.com/maps?q=13.029045,80.24927
No,No,No,No,No,No,13.073768,80.26182,https://www.google.com/maps?q=13.073768,80.26182
No,No,No,No,No,No,13.072688,80.26254,https://www.google.com/maps?q=13.072688,80.26254
No,No,No,No,No,No,13.078387,80.26366,https://www.google.com/maps?q=13.078387,80.26366
No,No,No,No,No,No,13.035344,80.25052,https://www.google.com/maps?q=13.035344,80.25052
No,No,No,No,No,No,13.003665,80.20071,https://www.google.com/maps?q=13.003665,80.20071
No,No,No,No,No,No,13.0025,80.20078,https://www.google.com/maps?q=13.0025,80.20078
No,No,No,No,No,No,13.077922,80.26238,https://www.google.com/maps?q=13.077922,80.26238
No,No,No,No,No,No,12.96567,80.20373,https://www.google.com/maps?q=12.96567,80.20373
No,No,No,No,No,No,13.019259,80.22423,https://www.google.com/maps?q=13.019259,80.22423
No,No,No,No,No,No,13.040552,80.24702,https://www.google.com/maps?q=13.040552,80.24702
No,No,No,No,No,No,13.0373,80.2464,https://www.google.com/maps?q=13.0373,80.2464
No,No,No,No,No,No,13.046791,80.2483,https://www.google.com/maps?q=13.046791,80.2483
No,No,No,No,No,No,11.014567,77.023605,https://www.google.com/maps?q=11.014567,77.023605
No,No,No,No,No,No,10.646962,77.00736,https://www.google.com/maps?q=10.646962,77.00736
No,No,No,No,No,No,10.553652,77.001366,https://www.google.com/maps?q=10.553652,77.001366
No,No,No,No,No,No,10.485728,76.96669,https://www.google.com/maps?q=10.485728,76.96669
No,No,No,No,No,No,10.483314,76.96339,https://www.google.com/maps?q=10.483314,76.96339
No,No,No,No,No,No,10.489516,76.976395,https://www.google.com/maps?q=10.489516,76.976395
No,No,No,No,No,No,11.096983,77.15528,https://www.google.com/maps?q=11.096983,77.15528
No,No,No,No,No,No,11.1039505,77.17078,https://www.google.com/maps?q=11.1039505,77.17078
No,No,No,No,No,No,10.660283,77.0031,https://www.google.com/maps?q=10.660283,77.0031
