Amenity Type,Latitude,Longitude,Google Maps Link
Unknown,11.289439,76.93795,https://www.google.com/maps?q=11.289439,76.93795
Unknown,11.092124,77.197334,https://www.google.com/maps?q=11.092124,77.197334
Unknown,11.118086,77.2677,https://www.google.com/maps?q=11.118086,77.2677
Unknown,11.121613,77.366646,https://www.google.com/maps?q=11.121613,77.366646
Unknown,12.428638,78.517334,https://www.google.com/maps?q=12.428638,78.517334
Unknown,12.497084,78.56102,https://www.google.com/maps?q=12.497084,78.56102
Unknown,12.530116,78.56952,https://www.google.com/maps?q=12.530116,78.56952
Unknown,12.545297,78.57482,https://www.google.com/maps?q=12.545297,78.57482
Unknown,12.298615,76.6376,https://www.google.com/maps?q=12.298615,76.6376
Unknown,9.613834,76.53153,https://www.google.com/maps?q=9.613834,76.53153
Unknown,9.585015,76.53802,https://www.google.com/maps?q=9.585015,76.53802
Unknown,9.756,76.49241,https://www.google.com/maps?q=9.756,76.49241
Unknown,22.727074,88.37717,https://www.google.com/maps?q=22.727074,88.37717
Unknown,25.447104,81.71681,https://www.google.com/maps?q=25.447104,81.71681
Unknown,13.335667,77.01838,https://www.google.com/maps?q=13.335667,77.01838
Unknown,15.312678,74.3147,https://www.google.com/maps?q=15.312678,74.3147
Unknown,13.343451,77.0675,https://www.google.com/maps?q=13.343451,77.0675
Unknown,22.743422,86.25976,https://www.google.com/maps?q=22.743422,86.25976
Unknown,26.196177,91.84934,https://www.google.com/maps?q=26.196177,91.84934
Unknown,10.759733,76.26908,https://www.google.com/maps?q=10.759733,76.26908
Unknown,10.782439,76.2275,https://www.google.com/maps?q=10.782439,76.2275
Unknown,10.69877,78.72311,https://www.google.com/maps?q=10.69877,78.72311
Unknown,10.576808,78.78719,https://www.google.com/maps?q=10.576808,78.78719
Unknown,13.109633,80.26438,https://www.google.com/maps?q=13.109633,80.26438
Unknown,13.109523,80.26437,https://www.google.com/maps?q=13.109523,80.26437
Unknown,13.110039,80.264694,https://www.google.com/maps?q=13.110039,80.264694
