Amenity Type,Latitude,Longitude,Google Maps Link
Unknown,11.100545,76.963745,https://www.google.com/maps?q=11.100545,76.963745
Unknown,13.03865,80.205215,https://www.google.com/maps?q=13.03865,80.205215
Unknown,13.122775,80.29606,https://www.google.com/maps?q=13.122775,80.29606
Unknown,13.0922,80.27929,https://www.google.com/maps?q=13.0922,80.27929
Unknown,13.0985,80.27962,https://www.google.com/maps?q=13.0985,80.27962
Unknown,13.08438,80.21609,https://www.google.com/maps?q=13.08438,80.21609
Unknown,11.408563,76.700264,https://www.google.com/maps?q=11.408563,76.700264
Unknown,11.021298,76.98835,https://www.google.com/maps?q=11.021298,76.98835
Unknown,13.128937,80.290565,https://www.google.com/maps?q=13.128937,80.290565
Unknown,13.084442,80.21307,https://www.google.com/maps?q=13.084442,80.21307
Unknown,13.08217,80.206985,https://www.google.com/maps?q=13.08217,80.206985
Unknown,13.0887985,80.19947,https://www.google.com/maps?q=13.0887985,80.19947
Unknown,13.033663,80.25725,https://www.google.com/maps?q=13.033663,80.25725
Unknown,12.978768,80.18465,https://www.google.com/maps?q=12.978768,80.18465
Unknown,11.415665,76.70885,https://www.google.com/maps?q=11.415665,76.70885
Unknown,13.019463,80.197296,https://www.google.com/maps?q=13.019463,80.197296
Unknown,13.08296,80.281265,https://www.google.com/maps?q=13.08296,80.281265
Unknown,13.078598,80.24334,https://www.google.com/maps?q=13.078598,80.24334
Unknown,12.9847145,80.19059,https://www.google.com/maps?q=12.9847145,80.19059
Unknown,12.988762,80.190414,https://www.google.com/maps?q=12.988762,80.190414
Unknown,12.973463,80.18414,https://www.google.com/maps?q=12.973463,80.18414
Unknown,13.006134,80.23988,https://www.google.com/maps?q=13.006134,80.23988
Unknown,13.038098,80.14281,https://www.google.com/maps?q=13.038098,80.14281
Unknown,13.0721,80.25899,https://www.google.com/maps?q=13.0721,80.25899
Unknown,13.073549,80.25703,https://www.google.com/maps?q=13.073549,80.25703
Unknown,13.073544,80.25915,https://www.google.com/maps?q=13.073544,80.25915
Unknown,11.021363,76.97087,https://www.google.com/maps?q=11.021363,76.97087
Unknown,11.0201235,76.97107,https://www.google.com/maps?q=11.0201235,76.97107
Unknown,11.00283,76.95137,https://www.google.com/maps?q=11.00283,76.95137
Unknown,11.008975,76.9578,https://www.google.com/maps?q=11.008975,76.9578
Unknown,11.009525,76.96193,https://www.google.com/maps?q=11.009525,76.96193
Unknown,11.0004225,76.971504,https://www.google.com/maps?q=11.0004225,76.971504
Unknown,11.016554,76.95524,https://www.google.com/maps?q=11.016554,76.95524
Unknown,12.503732,80.15964,https://www.google.com/maps?q=12.503732,80.15964
Unknown,13.021181,80.185844,https://www.google.com/maps?q=13.021181,80.185844
Unknown,13.012273,80.19643,https://www.google.com/maps?q=13.012273,80.19643
Unknown,12.527453,80.16314,https://www.google.com/maps?q=12.527453,80.16314
